datetime,open,high,low,close,volume,trade_count,buy_volume
2026-03-10 23:34:00+00:00,69889.77,69895.64,69879.46,69895.64,0.04679578,3,0.04679578
2026-03-10 23:35:00+00:00,69858.01,69925.66,69849.64,69910.0,0.022940890000000002,9,0.02294089
2026-03-10 23:36:00+00:00,69890.92,69932.8,69889.9,69930.35,0.01564657,5,0.01294841
2026-03-10 23:37:00+00:00,69938.31,69963.33,69928.35,69963.33,0.45541612000000004,14,0.59921098
2026-03-10 23:38:00+00:00,69938.21,69938.21,69936.25,69936.25,0.020130000000000002,2,0.020130000000000002
2026-03-10 23:39:00+00:00,69928.69,69928.69,69928.69,69928.69,0.0227,1,0.0
2026-03-10 23:40:00+00:00,69936.1,69936.1,69920.06,69920.06,0.11917151000000001,7,0.7146000000000001
2026-03-10 23:41:00+00:00,69928.65,69942.83,69928.06,69931.49,0.07377149000000001,5,0.017
2026-03-10 23:42:00+00:00,69905.79,69908.8,69905.79,69908.8,0.18779323,2,0.18779323
2026-03-10 23:43:00+00:00,69923.38,69935.26,69923.38,69924.86,0.02586828,3,0.0340219
2026-03-10 23:44:00+00:00,69927.05,69927.05,69927.05,69927.05,0.01075067,1,0.01075067
2026-03-10 23:46:00+00:00,69933.54,69933.54,69933.54,69933.54,0.017,1,0.017
2026-03-10 23:47:00+00:00,69933.54,69933.54,69933.54,69933.54,0.00065408,1,0.0
2026-03-10 23:49:00+00:00,69933.54,69933.54,69901.36,69901.36,0.14255635,3,0.02791258
2026-03-10 23:50:00+00:00,69926.55,69933.55,69926.55,69933.55,0.05684857,8,0.0904732
2026-03-10 23:51:00+00:00,69916.85,69916.85,69916.85,69916.85,0.04505287,2,0.09010574
2026-03-10 23:52:00+00:00,69919.83,69919.83,69919.83,69919.83,0.01063732,2,0.01063732
2026-03-10 23:53:00+00:00,69919.01,69919.01,69919.01,69919.01,0.06975367,3,0.20926101
2026-03-10 23:54:00+00:00,69858.94,69891.27,69854.46,69891.27,0.10832166,11,0.23632166000000002
2026-03-10 23:55:00+00:00,69914.05,69942.54,69914.05,69942.54,0.01291581,3,0.01291581
2026-03-10 23:57:00+00:00,69907.36,69907.36,69907.36,69907.36,0.024102659999999998,3,0.024102659999999998
2026-03-10 23:59:00+00:00,69925.01,69963.33,69925.01,69963.33,0.06518793,4,0.11972854000000001
2026-03-11 00:00:00+00:00,69951.33,69951.79,69845.03,69853.99,2.82343426,66,0.26314755
2026-03-11 00:01:00+00:00,69835.63,69851.25,69825.84,69845.76,0.17498641,14,0.07218618
2026-03-11 00:02:00+00:00,69811.33,69840.5,69811.33,69840.5,0.1226832,5,0.05459793
2026-03-11 00:03:00+00:00,69847.55,69871.74,69845.77,69871.74,0.01077675,3,0.02
2026-03-11 00:04:00+00:00,69797.83,69797.83,69782.48,69782.48,0.08800006,5,0.15788389
2026-03-11 00:05:00+00:00,69799.72,69799.74,69799.72,69799.74,0.0276485,6,0.034062459999999996
2026-03-11 00:06:00+00:00,69853.05,69890.05,69839.41,69890.05,0.024100000000000003,5,0.03585
2026-03-11 00:07:00+00:00,69915.93,69915.93,69912.54,69912.54,0.02763732,3,0.01063732
2026-03-11 00:08:00+00:00,69928.0,69928.0,69907.2,69907.2,0.4002154,10,3.6
2026-03-11 00:09:00+00:00,69945.32,70006.03,69945.19,69996.38,0.03854404,6,0.038284040000000005
2026-03-11 00:10:00+00:00,69971.73,69973.1,69939.75,69942.2,0.12096013,9,0.2315235
2026-03-11 00:11:00+00:00,69984.06,70042.54,69983.25,70042.54,0.09306992,7,0.03636992
2026-03-11 00:12:00+00:00,70044.28,70059.71,70044.28,70059.71,0.07176209,5,0.13091076
2026-03-11 00:13:00+00:00,70085.31,70088.58,70085.31,70088.58,0.02378174,2,0.02378174
2026-03-11 00:14:00+00:00,70072.72,70094.6,70072.72,70087.52,0.75808547,21,7.232175850000001
2026-03-11 00:15:00+00:00,70057.69,70057.69,70000.58,70000.58,0.0345,8,0.017499999999999998
2026-03-11 00:16:00+00:00,70008.26,70011.7,70000.01,70000.01,0.16380383,9,0.03900383
2026-03-11 00:17:00+00:00,70000.01,70037.43,69982.43,69996.21,0.18767244000000002,10,0.52966859
2026-03-11 00:18:00+00:00,69990.62,69990.62,69933.4,69933.4,0.46392353999999997,6,0.013693859999999999
2026-03-11 00:19:00+00:00,69908.04,70029.8,69908.04,70029.8,1.62769606,29,6.641487519999999
2026-03-11 00:20:00+00:00,70060.79,70060.79,69994.85,69994.85,0.09628286,12,0.06389962
2026-03-11 00:21:00+00:00,70023.28,70023.28,69990.01,69990.01,0.007237189999999999,6,0.007237189999999999
2026-03-11 00:22:00+00:00,70003.66,70009.43,69990.0,70009.43,0.0034251299999999998,3,0.00063902
2026-03-11 00:23:00+00:00,70030.21,70064.15,70030.21,70053.54,0.012062829999999998,5,0.013455249999999998
2026-03-11 00:24:00+00:00,70031.67,70114.05,70031.67,70091.34,0.04107075,15,0.05457075
2026-03-11 00:25:00+00:00,70070.6,70070.6,70039.27,70059.44,0.2908617,9,0.01343794
2026-03-11 00:26:00+00:00,70059.44,70076.01,70059.44,70076.01,2.31535897,15,27.155776329999995
2026-03-11 00:27:00+00:00,70090.22,70138.88,70090.22,70138.88,0.05149627,7,0.05804342999999999
2026-03-11 00:28:00+00:00,70138.11,70152.59,70092.39,70092.39,0.12115440000000001,12,0.053751020000000004
2026-03-11 00:29:00+00:00,70104.19,70104.19,70063.76,70063.76,1.25589535,15,0.0063316399999999995
2026-03-11 00:30:00+00:00,70049.89,70049.89,70042.96,70045.87,0.0581906,13,0.014866299999999999
2026-03-11 00:31:00+00:00,70037.91,70045.87,70013.45,70017.74,0.07370846,7,0.09662295
2026-03-11 00:32:00+00:00,69978.07,69989.69,69887.48,69887.48,0.16587165,11,0.09358922
2026-03-11 00:33:00+00:00,69885.28,69903.88,69885.28,69903.88,0.26474354,17,3.0483940800000005
2026-03-11 00:34:00+00:00,69902.46,69906.15,69902.46,69906.15,0.00020934,2,0.00020934
2026-03-11 00:35:00+00:00,69899.15,69914.44,69899.15,69914.44,0.00209341,2,0.00209341
2026-03-11 00:36:00+00:00,69914.44,69914.44,69914.44,69914.44,0.02023384,7,0.05203384
2026-03-11 00:37:00+00:00,69970.4,70009.29,69970.39,70005.28,0.02473884,4,0.022268839999999998
2026-03-11 00:38:00+00:00,69981.18,69981.18,69958.4,69958.4,0.01407021,2,0.01407021
2026-03-11 00:39:00+00:00,69938.27,69938.27,69938.27,69938.27,0.0227,1,0.0227
2026-03-11 00:40:00+00:00,69938.6,69938.6,69938.6,69938.6,0.00040446,1,0.00040446
2026-03-11 00:41:00+00:00,69894.53,69894.53,69870.52,69877.76,0.75665976,11,0.0
2026-03-11 00:43:00+00:00,69840.95,69840.95,69840.95,69840.95,0.00074834,1,0.0
